ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
H20__gpt-4o__HI,0.0,1.0,1.0,1.0,2.0,1.0
H21__gpt-4o__HI,0.0,0.0,0.0,2.0,1.0,0.6
H22__gpt-4o__HI,0.0,0.0,2.0,0.0,0.0,0.4
H23__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H24__gpt-4o__HI,2.0,0.0,1.0,0.0,1.0,0.8
H25__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H26__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H27__gpt-4o__HI,1.0,0.0,0.0,1.0,1.0,0.6
H28__gpt-4o__HI,1.0,1.0,0.0,1.0,1.0,0.8
H29__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H2__gpt-4o__HI,1.0,0.0,2.0,0.0,0.0,0.6
H30__gpt-4o__HI,2.0,0.0,2.0,0.0,0.0,0.8
H31__gpt-4o__HI,0.0,0.0,2.0,0.0,0.0,0.4
H32__gpt-4o__HI,1.0,2.0,0.0,2.0,1.0,1.2
H33__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H34__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H35__gpt-4o__HI,0.0,1.0,0.0,2.0,1.0,0.8
H36__gpt-4o__HI,1.0,0.0,1.0,0.0,1.0,0.6
H37__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H38__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H39__gpt-4o__HI,1.0,0.0,1.0,2.0,1.0,1.0
H3__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H40__gpt-4o__HI,1.0,1.0,0.0,1.0,1.0,0.8
H41__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H42__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H43__gpt-4o__HI,0.0,0.0,0.0,0.0,1.0,0.2
H44__gpt-4o__HI,0.0,1.0,1.0,1.0,2.0,1.0
H45__gpt-4o__HI,0.0,1.0,0.0,0.0,0.0,0.2
H46__gpt-4o__HI,0.0,0.0,1.0,0.0,1.0,0.4
H47__gpt-4o__HI,0.0,1.0,0.0,0.0,0.0,0.2
H48__gpt-4o__HI,0.0,0.0,1.0,0.0,1.0,0.4
H49__gpt-4o__HI,1.0,1.0,1.0,1.0,2.0,1.2
H4__gpt-4o__HI,0.0,0.0,1.0,0.0,1.0,0.4
H50__gpt-4o__HI,1.0,1.0,0.0,1.0,1.0,0.8
H5__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H6__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H7__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H8__gpt-4o__HI,0.0,1.0,0.0,1.0,1.0,0.6
H9__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
